run_id,robot,arm_id,step_idx,time_s,target_x,target_y,target_z,meas_x,meas_y,meas_z,dt
20260317_132824,kuka,kuka_main,101,3,608,117,448.66453108661,608,117,377.335,0.03
20260317_132824,kuka,kuka_main,102,3.03,608,117,462.407067055259,608,117,377.335,0.03
20260317_132824,kuka,kuka_main,103,3.06,608,117,475.63638151002,608,117,377.335,0.03
20260317_132824,kuka,kuka_main,104,3.09,608,117,488.22020394994,608,117,377.335,0.03
20260317_132824,kuka,kuka_main,105,3.12,608,117,500.037037037037,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,106,3.15,608,117,510.978550632519,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,107,3.18,608,117,520.951975833003,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,108,3.21,608,117,529.882499006725,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,109,3.24,608,117,537.715655829763,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,110,3.27,608,117,544.41972532225,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,111,3.3,608,117,549.988123884591,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,112,3.33,608,117,554.44179933368,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,113,3.36,608,117,557.831624939114,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,114,3.39,608,117,560.240793459413,608,117,448.665,0.03
20260317_132824,kuka,kuka_main,115,3.42,608,117,561.787211178234,608,117,549.988,0.03
20260317_132824,kuka,kuka_main,116,3.45,608,117,562.625891940587,608,117,549.988,0.03
20260317_132824,kuka,kuka_main,117,3.48,608,117,562.951351189053,608,117,549.988,0.03
20260317_132824,kuka,kuka_main,118,3.51,608,117,563,608,117,549.988,0.03
20260317_132824,kuka,kuka_main,119,3.54,608,117.003527038794,563,608,117,549.988,0.03
20260317_132824,kuka,kuka_main,120,3.57,608,117.027122834307,563,608,117.027,563,0.03
20260317_132824,kuka,kuka_main,121,3.6,608,117.087927189578,563,608,117.027,563,0.03
20260317_132824,kuka,kuka_main,122,3.63,608,117.200042474193,563,608,117.027,563,0.03
20260317_132824,kuka,kuka_main,123,3.66,608,117.374707191914,563,608,117.027,563,0.03
20260317_132824,kuka,kuka_main,124,3.69,608,117.620469548308,563,608,117.027,563,0.03
20260317_132824,kuka,kuka_main,125,3.72,608,117.943361018367,563,608,117.62,563,0.03
20260317_132824,kuka,kuka_main,126,3.75,608,118.347069914137,563,608,117.62,563,0.03
20260317_132824,kuka,kuka_main,127,3.78,608,118.833114952342,563,608,117.62,563,0.03
20260317_132824,kuka,kuka_main,128,3.81,608,119.401018822012,563,608,117.62,563,0.03
20260317_132824,kuka,kuka_main,129,3.84,608,120.048481752107,563,608,117.62,563,0.03
20260317_132824,kuka,kuka_main,130,3.87,608,120.771555079142,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,131,3.9,608,121.564814814815,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,132,3.93,608,122.421535213629,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,133,3.96,608,123.333862340524,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,134,3.99,608,124.292987638494,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,135,4.02,608,125.289321496221,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,136,4.05,608,126.312666815695,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,137,4.08,608,127.352392579844,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,138,4.11,608,128.397607420156,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,139,4.14,608,129.437333184305,563,608,120.772,563,0.03
20260317_132824,kuka,kuka_main,140,4.17,608,130.460678503779,563,608,130.461,563,0.03
20260317_132824,kuka,kuka_main,141,4.2,608,131.457012361506,563,608,130.461,563,0.03
20260317_132824,kuka,kuka_main,142,4.23,608,132.416137659476,563,608,130.461,563,0.03
20260317_132824,kuka,kuka_main,143,4.26,608,133.328464786371,563,608,130.461,563,0.03
20260317_132824,kuka,kuka_main,144,4.29,608,134.185185185185,563,608,130.461,563,0.03
20260317_132824,kuka,kuka_main,145,4.32,608,134.978444920858,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,146,4.35,608,135.701518247893,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,147,4.38,608,136.348981177988,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,148,4.41,608,136.916885047658,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,149,4.44,608,137.402930085863,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,150,4.47,608,137.806638981633,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,151,4.5,608,138.129530451692,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,152,4.53,608,138.375292808086,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,153,4.56,608,138.549957525807,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,154,4.59,608,138.662072810422,563,608,134.978,563,0.03
20260317_132824,kuka,kuka_main,155,4.62,608,138.722877165693,563,608,138.662,563,0.03
20260317_132824,kuka,kuka_main,156,4.65,608,138.746472961206,563,608,138.662,563,0.03
20260317_132824,kuka,kuka_main,157,4.68,608,138.75,563,608,138.662,563,0.03
20260317_132824,kuka,kuka_main,158,4.71,607.954351199061,138.753527038794,563,608,138.662,563,0.03
20260317_132824,kuka,kuka_main,159,4.74,607.648961937584,138.777122834307,563,608,138.662,563,0.03
20260317_132824,kuka,kuka_main,160,4.77,606.861999822243,138.837927189578,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,161,4.8,605.410944529416,138.950042474193,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,162,4.83,603.150341401202,139.124707191914,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,163,4.86,599.969555041436,139.370469548308,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,164,4.89,595.790522911708,139.693361018367,563,606.862,138.838,563,0.03
