Time_s,Target_X,Target_Y,Target_Z,RL_SpeedNorm,RoArm_Spd_Param,Reward,TrackingError_mm,EE_Velocity_mms,Is_Dwell
8.8,210,53.3333333333334,130,0.999883592128754,100,0.0862403162912525,1.52714395135595,133.333333333333,0
9,210,26.6666666666666,130,0.999929845333099,100,-0.108948028394019,3.67594459346754,133.333333333334,0
9.2,210,0,130,0.999899685382843,100,0.0343429424391974,2.09848804656404,133.333333333333,0
9.4,210,-26.6666666666667,130,0.999887347221375,100,0.0827437747986313,1.56568285172955,133.333333333333,0
9.6,210,-53.3333333333333,130,0.999870598316193,100,0.140172864176541,0.933416815508371,133.333333333333,0
9.8,210,-80,130,0.999896466732025,100,0.0558783026725596,1.86141910920172,133.333333333333,0
10,210,-106.666666666667,130,0.999892055988312,100,0.0754196115225988,1.64634563764342,133.333333333335,0
10.2,210,-133.333333333333,130,0.999950349330902,100,-0.225026986002922,4.95382242858866,133.33333333333,0
10.4,210,-160,130,0.999871134757996,100,0.151277177404953,0.811004609903765,133.333333333335,0
10.6,210,-160,130,0.999937117099762,100,-0.20630684108863,2.50011665911897,0,1
10.8,213.333333333333,-146.666666666667,137.5,0.99986457824707,100,0.165028394135896,0.586824923376602,78.2845592835646,0
11,216.666666666667,-133.333333333333,145,0.999916195869446,100,-0.0184529723712007,2.65274686018903,78.2845592835699,0
11.2,220,-120,152.5,0.999909639358521,100,0.0154377613549029,2.30669797865446,78.2845592835646,0
11.4,223.333333333333,-106.666666666667,160,0.999918878078461,100,-0.0247983351937051,2.74965486191906,78.2845592835646,0
11.6,226.666666666667,-93.3333333333333,167.5,0.999898910522461,100,0.0630688038953142,1.78228548308802,78.2845592835687,0
11.8,230,-80,175,0.999895691871643,100,0.0773986787817028,1.62457237421763,78.2845592835659,0
12,233.333333333333,-66.6666666666667,182.5,0.99991500377655,100,-0.00130914499091458,2.49103586058729,78.2845592835659,0
12.2,236.666666666667,-53.3333333333333,190,0.999896466732025,100,0.0782704529457531,1.61493542771334,78.2845592835674,0
12.4,240,-40,197.5,0.999887347221375,100,0.113247255417892,1.22989431776164,78.2845592835659,0
12.6,243.333333333333,-26.6666666666667,205,0.999890685081482,100,0.103212043280837,1.34039199124895,78.2845592835659,0
12.8,246.666666666667,-13.3333333333333,212.5,0.999875128269196,100,0.157055696572696,0.747577999325371,78.2845592835674,0
13,250,0,220,0.99989527463913,100,0.0898722396293099,1.48720951545353,78.2845592835659,0
13.2,250,0,220,0.999940037727356,100,-0.20174178053988,2.46886628066997,0,1
13.4,254.166666666667,-10,217.5,0.999924778938293,100,-0.0422826717198454,2.89607574447166,55.5902669338603,0
13.6,258.333333333333,-20,215,0.999924778938293,100,-0.0395124500379579,2.89255286659988,55.5902669338584,0
13.8,262.5,-30,212.5,0.999912858009338,100,0.0212089741895363,2.24315970972601,55.5902669338604,0
14,266.666666666667,-40,210,0.999907433986664,100,0.0463825611091097,1.96603937467825,55.5902669338604,0
14.2,270.833333333333,-50,207.5,0.999904751777649,100,0.0585851410873166,1.83170750675607,55.5902669338584,0
14.4,275,-60,205,0.999907851219177,100,0.046848368102927,1.96091908685855,55.5902669338604,0
14.6,279.166666666667,-70,202.5,0.999903559684753,100,0.0658954458805316,1.75122434836351,55.5902669338604,0
14.8,283.333333333333,-80,200,0.999892055988312,100,0.111548078188212,1.24860609811961,55.5902669338584,0
15,287.5,-90,197.5,0.999914944171906,100,0.0195568918254716,2.26132220712758,55.5902669338604,0
15.2,291.666666666667,-100,195,0.999909579753876,100,0.0447606028210339,1.98390076268014,55.5902669338604,0
15.4,295.833333333333,-110,192.5,0.999911904335022,100,0.0356432099756656,2.08428429326064,55.5902669338584,0
15.6,300,-120,190,0.999923586845398,100,-0.0188183638637917,2.68383061519997,55.5902669338604,0
15.8,300,-120,190,0.999935209751129,100,-0.155821673976995,1.97124015577561,0,1
16,250,0,220,0.999918162822723,100,0.0347757869893263,1.84519918420847,667.083203206317,0
16.2,252.5,0,222.5,0.999922513961792,100,-0.26409794607397,2.17899068652732,17.6776695296637,0
16.4,255,0,225,0.999908566474915,100,0.0463555795388397,1.74291052567952,17.6776695296637,0
16.6,257.5,0,227.5,0.999907851219177,100,0.0705089854989646,1.70045787703081,17.6776695296637,0
16.8,260,0,230,0.999929070472717,100,-0.031786120961171,2.82657494042984,17.6776695296637,0
17,262.5,0,232.5,0.999913096427917,100,0.0482102626157826,1.94590568185946,17.6776695296637,0
17.2,265,0,235,0.999913513660431,100,0.0463783366805747,1.96611639059434,17.6776695296637,0
17.4,267.5,0,237.5,0.999904930591583,100,0.0842340765752114,1.54933559922455,17.6776695296637,0
17.6,270,0,240,0.999946355819702,100,-0.139892829701825,4.0166589879248,17.6776695296637,0
17.8,272.5,0,242.5,0.999902129173279,100,0.0964275300189006,1.41499823128675,17.6776695296637,0
18,275,0,245,0.999930560588837,100,-0.0380334194253598,2.89533254209686,17.6776695296637,0
18.2,277.5,0,247.5,0.999902486801147,100,0.09595931175637,1.42019804825365,17.6776695296637,0
18.4,280,0,250,0.99989515542984,100,0.12436726607652,1.10750615430363,17.6776695296637,0
18.6,280,0,250,0.999922454357147,100,-0.0641933951149235,0.975515043861548,0,1
18.8,277.5,0,247.5,0.999877452850342,100,0.185180234100519,0.425731768007454,17.6776695296637,0
19,275,0,245,0.999950766563416,100,-0.170892741428111,4.35176432550801,17.6776695296637,0
19.2,272.5,0,242.5,0.99988842010498,100,0.150318668538538,0.821650343828861,17.6776695296637,0
19.4,270,0,240,0.999908804893494,100,0.0716887096064207,1.68741938257989,17.6776695296637,0
19.6,267.5,0,237.5,0.999915778636932,100,0.0407427684904132,2.02814369997966,17.6776695296637,0
19.8,265,0,235,0.999905288219452,100,0.0875437697724729,1.51289659555186,17.6776695296637,0
20,262.5,0,232.5,0.99990451335907,100,0.0907655004954593,1.47745479719981,17.6776695296637,0
20.2,260,0,230,0.99989241361618,100,0.138153668226612,0.955717956055423,17.6776695296637,0
20.4,257.5,0,227.5,0.999922335147858,100,0.0106349498523318,2.3595403385928,17.6776695296637,0
20.6,255,0,225,0.999928116798401,100,-0.0189019794249198,2.68477980351272,17.6776695296637,0
